,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,REGION_RATING_CLIENT_W_CITY,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,AGE,CREDIT_INCOME_PERCENT
206,675000.0,2250000.0,68220.0,2250000.0,535,1526.0,2878,1,0,0,0,0.7033853126587534,0.5709165417729987,27.5,3.333333333333333
207,315000.0,1795203.0,49495.5,1498500.0,2240,319.0,1564,1,0,0,0,0.307133677239362,0.1884895337951677,32.5,5.699057142857143
233,405000.0,2517300.0,66532.5,2250000.0,3054,7673.0,4683,2,0,1,1,0.7784451174383848,0.375711009574066,42.5,6.215555555555556
261,405000.0,2695500.0,71235.0,2250000.0,1285,873.0,859,3,0,1,1,0.2570459546988229,0.6910212267577837,37.5,6.655555555555556
335,436500.0,1971072.0,68512.5,1800000.0,1429,5235.0,557,1,0,0,0,0.7111765277474406,0.3791004853998145,32.5,4.515628865979381
369,193500.0,1575000.0,43443.0,1575000.0,2766,3315.0,3990,2,0,1,1,0.7314090620783638,0.7394117535524816,37.5,8.13953488372093
452,450000.0,2517300.0,93420.0,2250000.0,1933,7488.0,4489,1,0,0,0,0.7431197568648654,0.4382813743111921,37.5,5.594
500,270000.0,1800000.0,68562.0,1800000.0,3759,12.0,2484,3,0,0,0,0.6852893085879229,0.0884605646541969,27.5,6.666666666666667
501,675000.0,2463840.0,74700.0,2250000.0,663,10079.0,4278,2,0,0,0,0.5563277312797889,0.3016248916841194,42.5,3.650133333333333
509,675000.0,1762110.0,48586.5,1575000.0,2600,2229.0,2398,3,0,0,0,0.5917776768661538,0.3233112448967859,52.5,2.610533333333333
556,225000.0,2250000.0,68350.5,2250000.0,1569,854.0,5208,2,0,1,1,0.7396903046515381,0.746300213050371,37.5,10.0
586,540000.0,1668096.0,52506.0,1440000.0,2634,3001.0,4353,1,0,0,0,0.6522443544421098,0.475849908720221,32.5,3.089066666666666
679,360000.0,1928304.0,73579.5,1800000.0,900,8451.0,5003,1,0,0,0,0.7139578541562436,0.375711009574066,37.5,5.3564
687,337500.0,2013840.0,53253.0,1800000.0,303,6705.0,3443,1,0,0,0,0.5847386868310791,0.4525335592581747,32.5,5.966933333333333
688,292500.0,1552500.0,48879.0,1552500.0,454,683.0,1153,2,0,0,0,0.7309405526125566,0.5919766183185521,47.5,5.307692307692308
709,180000.0,1800000.0,49630.5,1800000.0,2691,5182.0,3293,1,0,1,1,0.6413846706641748,0.2580842039460289,32.5,10.0
749,427500.0,1671210.0,48024.0,1395000.0,2328,4634.0,2227,1,0,0,0,0.7059883096092031,0.6161216908872079,27.5,3.909263157894737
753,427500.0,1971072.0,68643.0,1800000.0,336,5461.0,3473,1,0,1,1,0.6962283015076801,0.7136313997323308,32.5,4.610694736842105
833,360000.0,1800000.0,47484.0,1800000.0,4856,519.0,4036,2,1,1,1,0.6923294650789737,0.6610235391308081,42.5,5.0
883,270000.0,1800000.0,62568.0,1800000.0,4293,9088.0,3585,2,0,0,0,0.6295216417133035,0.7789040389824382,57.5,6.666666666666667
933,157500.0,1800000.0,49630.5,1800000.0,2155,4295.0,137,2,0,0,0,0.6372498867627654,0.6863823354047934,47.5,11.428571428571429
1026,337500.0,1800000.0,54576.0,1800000.0,1559,2445.0,3030,2,0,0,0,0.2804427293284889,0.6863823354047934,27.5,5.333333333333333
1030,247500.0,2013840.0,53122.5,1800000.0,2193,7481.0,3648,2,0,0,0,0.7907419445299276,0.7380196196295241,57.5,8.136727272727272
1056,414000.0,2250000.0,68350.5,2250000.0,1447,7631.0,4335,1,0,0,0,0.7589836208552215,0.5226973172821112,57.5,5.434782608695652
1095,243000.0,1971072.0,62019.0,1800000.0,2193,230.0,519,2,0,0,0,0.5272055946046446,0.5602843280409464,47.5,8.111407407407407
1116,247500.0,1575000.0,43312.5,1575000.0,958,3249.0,4297,2,0,1,1,0.5076330767238384,0.3740208032583212,42.5,6.363636363636363
1165,202500.0,1575000.0,41679.0,1575000.0,5093,2673.0,4753,2,0,0,0,0.6150386931858401,0.6075573001388961,37.5,7.777777777777778
1169,157500.0,1755000.0,46296.0,1755000.0,5733,6686.0,811,2,0,0,0,0.6352609520363681,0.6817058776720116,47.5,11.142857142857142
1220,202500.0,1777500.0,97537.5,1777500.0,2664,8353.0,4936,2,0,0,0,0.7036270591503585,0.4436153084085652,37.5,8.777777777777779
1283,382500.0,1971072.0,68643.0,1800000.0,3165,5200.0,4535,2,0,0,0,0.3830148097951694,0.6956219298394389,37.5,5.153129411764706
1319,220500.0,1951542.0,53797.5,1629000.0,6871,6109.0,2890,2,0,0,0,0.7074930101051108,0.520897599048938,52.5,8.850530612244897
1385,225000.0,2013840.0,53122.5,1800000.0,4187,5236.0,4189,2,0,0,0,0.6974709542160222,0.4083588531230431,32.5,8.9504
1420,180000.0,1777212.0,46881.0,1588500.0,1640,649.0,2235,2,0,0,0,0.2982903678044805,0.7801436381572275,52.5,9.8734
1424,180000.0,1649844.0,85558.5,1575000.0,16632,2162.0,4628,2,0,0,0,0.696200551558935,0.6754132910917112,62.5,9.1658
1427,450000.0,1762110.0,48586.5,1575000.0,1566,6043.0,4343,2,0,0,0,0.7787768285274472,0.6413682574954046,42.5,3.9158
1483,202500.0,1962000.0,53955.0,1962000.0,4212,3151.0,4283,2,0,0,0,0.5562413693572473,0.5531646987710016,42.5,9.688888888888888
1499,144000.0,1762110.0,48586.5,1575000.0,3662,5596.0,2178,1,0,0,0,0.7251214417977674,0.6971469077844458,32.5,12.236875
1511,360000.0,1800000.0,49500.0,1800000.0,563,3814.0,4694,1,0,0,0,0.7836393528443754,0.8106180215523969,42.5,5.0
1524,472500.0,1762110.0,67248.0,1575000.0,2930,10636.0,1649,1,0,0,0,0.6937529757826999,0.6832688314232291,47.5,3.729333333333333
1567,225000.0,2085120.0,72607.5,1800000.0,809,7656.0,3492,1,0,0,0,0.8147616076286436,0.6940926425266661,37.5,9.2672
1630,225000.0,1800000.0,62568.0,1800000.0,4464,5500.0,3084,2,0,0,0,0.5462937924168245,0.4436153084085652,32.5,8.0
1638,180000.0,1687266.0,64395.0,1575000.0,928,10634.0,3333,2,0,0,0,0.619672308273839,0.7922644738669378,52.5,9.3737
1652,450000.0,1575000.0,43443.0,1575000.0,430,1416.0,1400,2,0,0,0,0.6535229434671059,0.5046813193144684,37.5,3.5
1778,135000.0,1661418.0,43956.0,1485000.0,4502,2856.0,5126,2,0,0,0,0.5452258350094972,0.7688075728291359,37.5,12.3068
1791,247500.0,2013840.0,55377.0,1800000.0,2893,2637.0,1436,2,1,1,0,0.5865322921066672,0.520897599048938,47.5,8.136727272727272
1797,675000.0,2013840.0,53253.0,1800000.0,1936,1096.0,20,1,0,0,0,0.6936321669499516,0.4740512892789932,47.5,2.9834666666666667
1851,450000.0,1800000.0,47484.0,1800000.0,251,191.0,3908,1,0,0,0,0.6789737781849742,0.7136313997323308,32.5,4.0
1856,382500.0,1841530.5,68247.0,1719000.0,633,4766.0,624,1,0,0,0,0.8018284372067723,0.6832688314232291,47.5,4.814458823529412
1917,315157.5,2517300.0,66532.5,2250000.0,3558,1490.0,4308,2,0,0,0,0.5798241173535265,0.5136937663039473,32.5,7.98743485400157
1930,202500.0,1800000.0,47484.0,1800000.0,2813,8184.0,5021,2,0,1,1,0.5211898051080538,0.7544061731797895,42.5,8.88888888888889
1992,373500.0,2200122.0,63054.0,1966500.0,1388,6125.0,4392,1,0,0,0,0.6864012506961757,0.190705947811054,32.5,5.89055421686747
2026,292500.0,1575000.0,43443.0,1575000.0,7566,7370.0,1877,1,0,0,0,0.6271470123055409,0.7047064232963289,52.5,5.384615384615385
2051,202500.0,1971072.0,62019.0,1800000.0,1842,1610.0,4059,2,0,1,1,0.6807823259065227,0.6075573001388961,37.5,9.733688888888889
2098,292500.0,1762110.0,46611.0,1575000.0,7660,10589.0,179,2,0,0,0,0.5759194392349081,0.7738956942145427,47.5,6.024307692307692
2153,202500.0,1764000.0,46530.0,1764000.0,2501,7054.0,4835,1,0,0,0,0.7495447393167379,0.3280631605201915,37.5,8.71111111111111
2173,225000.0,1773000.0,73170.0,1773000.0,5075,9895.0,4893,2,0,0,0,0.4251901788793884,0.2340151665320674,42.5,7.88
2192,192514.5,2736000.0,75370.5,2736000.0,1937,8163.0,1294,2,0,1,1,0.739311174496218,0.7252764347002191,47.5,14.211916504990532
2199,202500.0,1762110.0,48586.5,1575000.0,1660,5319.0,4719,1,0,1,1,0.7299502618427878,0.5744466170995097,42.5,8.701777777777778
2203,360000.0,1800000.0,62698.5,1800000.0,3251,3061.0,973,2,0,0,0,0.4383768427638231,0.1301285429480269,47.5,5.0
