,TARGET
2,0
5,0
6,0
7,0
10,0
12,0
13,0
15,0
16,0
18,0
19,0
21,0
22,0
24,0
25,0
27,0
28,0
30,0
32,0
33,0
35,0
36,0
37,0
39,0
47,0
48,0
50,0
51,0
52,0
53,0
55,0
57,0
58,0
59,0
60,0
61,0
63,0
64,0
65,0
66,0
67,0
68,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
82,0
85,0
87,0
88,0
90,0
91,0
92,0
93,0
95,0
96,0
98,0
100,0
101,0
102,0
103,0
104,0
107,0
111,0
112,0
114,0
115,0
119,0
121,0
122,0
124,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
137,0
139,0
141,0
142,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
155,0
159,0
161,0
162,0
164,0
165,0
166,0
167,0
169,0
170,0
171,0
172,0
176,0
178,0
179,0
181,0
182,0
183,0
187,0
188,0
190,0
191,0
192,0
193,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
212,0
214,0
215,0
218,0
219,0
223,0
224,0
225,0
228,0
229,0
230,0
231,0
232,0
234,0
236,0
241,0
243,0
244,0
249,0
250,0
251,0
253,0
254,0
259,0
262,0
264,0
266,0
267,0
269,0
271,0
272,0
273,0
274,0
276,0
278,0
279,0
282,0
285,0
286,0
288,0
293,0
294,0
296,0
297,0
298,0
299,0
301,0
303,0
310,0
311,0
312,0
314,0
315,0
316,0
317,0
319,0
320,0
321,0
323,0
325,0
326,0
327,0
328,0
330,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
343,0
345,0
350,0
353,0
355,0
357,0
360,0
361,0
362,0
363,0
365,0
366,0
367,0
369,0
370,0
371,0
372,0
374,0
375,0
376,0
377,0
378,0
379,0
386,0
387,0
388,0
390,0
392,0
393,0
396,0
397,0
398,0
399,0
401,0
406,0
409,0
411,0
412,0
414,0
415,0
417,0
418,0
422,0
426,0
427,0
428,0
430,0
431,0
432,0
433,0
434,0
435,0
437,0
438,0
440,0
441,0
443,0
446,0
452,0
453,0
457,0
458,0
461,0
464,0
466,0
467,0
468,0
469,0
472,0
474,0
475,0
479,0
480,0
481,0
483,0
484,0
487,0
488,0
489,0
491,0
493,0
494,0
496,0
497,0
501,0
502,0
503,0
504,0
506,0
507,0
508,0
510,0
511,0
512,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
529,0
531,0
532,0
533,0
535,0
536,0
537,0
540,0
542,0
543,0
544,0
545,0
547,0
549,0
551,0
552,0
553,0
554,0
558,0
559,0
561,0
565,0
567,0
568,0
569,0
571,0
572,0
574,0
576,0
577,0
578,0
580,0
582,0
584,0
585,0
587,0
588,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
604,0
607,0
609,0
612,0
615,0
620,0
621,0
622,0
625,0
626,0
628,0
630,0
632,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
642,0
643,0
644,0
645,0
647,0
648,0
649,0
651,0
653,0
654,0
655,0
658,0
659,0
660,0
661,0
662,0
663,0
665,0
666,0
667,0
669,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
680,0
681,0
682,0
683,0
684,0
685,0
687,0
689,0
690,0
693,0
694,0
695,0
696,0
697,0
698,0
700,0
701,0
702,0
703,0
704,0
705,0
708,0
709,0
711,0
712,0
713,0
714,0
716,0
719,0
720,0
721,0
722,0
723,0
725,0
728,0
729,0
730,0
731,0
732,0
734,0
735,0
736,0
738,0
739,0
740,0
741,0
742,0
745,0
746,0
748,0
749,0
752,0
753,0
756,0
758,0
760,0
761,0
764,0
768,0
769,0
770,0
771,0
772,0
774,0
775,0
776,0
779,0
780,0
783,0
785,0
786,0
789,0
790,0
791,0
792,0
793,0
794,0
796,0
797,0
799,0
800,0
801,0
803,0
804,0
806,0
807,0
810,0
811,0
812,0
813,0
814,0
816,0
817,0
819,0
821,0
822,0
824,0
825,0
826,0
829,0
832,0
833,0
834,0
836,0
838,0
839,0
840,0
841,0
842,0
845,0
846,0
847,0
848,0
850,0
851,0
853,0
856,0
857,0
858,0
862,0
863,0
864,0
865,0
867,0
868,0
869,0
872,0
873,0
874,0
875,0
877,0
878,0
880,0
881,0
883,0
887,0
888,0
892,0
893,0
895,0
896,0
897,0
901,0
902,0
906,0
907,0
908,0
909,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
922,0
923,0
924,0
925,0
926,0
928,0
929,0
931,0
932,0
935,0
937,0
939,0
940,0
941,0
942,0
943,0
944,0
948,0
950,0
951,0
953,0
954,0
956,0
957,0
958,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
969,0
971,0
977,0
978,0
980,0
981,0
982,0
983,0
984,0
985,0
989,0
992,0
993,0
994,0
996,0
998,0
999,0
1001,0
1002,0
1004,0
1006,0
1008,0
1009,0
1011,0
1012,0
1013,0
1014,0
1015,0
1017,0
1018,0
1019,0
1020,0
1022,0
1023,0
1024,0
1025,0
1027,0
1029,0
1030,0
1031,0
1032,0
1034,0
1036,0
1038,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1047,0
1049,0
1050,0
1052,0
1053,0
1055,0
1056,0
1057,0
1058,0
1059,0
1061,0
1062,0
1066,0
1067,0
1068,0
1069,0
1074,0
1075,0
1077,0
1078,0
1080,0
1081,0
1082,0
1083,0
1084,0
1087,0
1089,0
1090,0
1096,0
1097,0
1099,0
1100,0
1101,0
1102,0
1103,0
1107,0
1108,0
1110,0
1112,0
1114,0
1115,0
1116,0
1117,0
1118,0
1121,0
1123,0
1124,0
1125,0
1127,0
1128,0
1129,0
1130,0
1133,0
1136,0
1138,0
1140,0
1141,0
1142,0
1144,0
1146,0
1147,0
1148,0
1150,0
1151,0
1153,0
1154,0
1157,0
1161,0
1162,0
1163,0
1164,0
1166,0
1168,0
1169,0
1170,0
1171,0
1173,0
1174,0
1176,0
1177,0
1178,0
1180,0
1181,0
1182,0
1187,0
1188,0
1190,0
1191,0
1194,0
1196,0
1199,0
1202,0
1206,0
1207,0
1209,0
1210,0
1212,0
1213,0
1217,0
1219,0
1220,0
1226,0
1227,0
1229,0
1230,0
1232,0
1234,0
1238,0
1239,0
1240,0
1241,0
1242,0
1244,0
1246,0
1247,0
1250,0
1254,0
1255,0
1256,0
1258,0
1259,0
1260,0
1261,0
1263,0
1264,0
1266,0
1267,0
1270,0
1271,0
1273,0
1275,0
1276,0
1281,0
1283,0
1284,0
1285,0
1288,0
1291,0
1292,0
1293,0
1295,0
1297,0
1298,0
1301,0
1303,0
1304,0
1305,0
1307,0
1308,0
1310,0
1311,0
1314,0
1315,0
1316,0
1318,0
1319,0
1322,0
1323,0
1324,0
1326,0
1328,0
1329,0
1330,0
1331,0
1334,0
1336,0
1337,0
1339,0
1342,0
1343,0
1344,0
1345,0
1349,0
1350,0
1352,0
1353,0
1357,0
1358,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1367,0
1368,0
1370,0
1371,0
1375,0
1377,0
1378,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1395,0
1399,0
1400,0
1401,0
1402,0
1405,0
1407,0
1408,0
1409,0
1410,0
1411,0
1413,0
1414,0
1416,0
1418,0
1420,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1433,0
1434,0
1437,0
1441,0
1443,0
1444,0
1446,0
1447,0
1448,0
1449,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1464,0
1466,0
1467,0
1470,0
1472,0
1475,0
1477,0
1479,0
1480,0
1481,0
1482,0
1487,0
1491,0
1493,0
1494,0
1495,0
1497,0
1499,0
1501,0
1504,0
1505,0
1506,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1517,0
1523,0
1525,0
1526,0
1527,0
1529,0
1531,0
1533,0
1534,0
1536,0
1538,0
1539,0
1541,0
1544,0
1547,0
1548,0
1550,0
1551,0
1553,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1563,0
1565,0
1566,0
1567,0
1568,0
1569,0
1572,0
1576,0
1577,0
1579,0
1580,0
1586,0
1587,0
1589,0
1590,0
1591,0
1592,0
1593,0
1596,0
1598,0
1600,0
1601,0
1604,0
1607,0
1608,0
1609,0
1610,0
1611,0
1614,0
1619,0
1620,0
1621,0
1623,0
1625,0
1626,0
1627,0
1630,0
1631,0
1635,0
1636,0
1638,0
1642,0
1643,0
1645,0
1646,0
1649,0
1650,0
1651,0
1653,0
1654,0
1656,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1666,0
1667,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1679,0
1681,0
1682,0
1684,0
1685,0
1687,0
1693,0
1696,0
1697,0
1698,0
1701,0
1704,0
1706,0
1707,0
1708,0
1710,0
1712,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1724,0
1727,0
1728,0
1732,0
1735,0
1737,0
1740,0
1743,0
1744,0
1745,0
1746,0
1748,0
1749,0
1750,0
1752,0
1753,0
1754,0
1755,0
1758,0
1766,0
1768,0
1769,0
1772,0
1774,0
1775,0
1776,0
1778,0
1779,0
1780,0
1785,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1794,0
1796,0
1797,0
1798,0
1800,0
1801,0
1802,0
1804,0
1805,0
1807,0
1808,0
1811,0
1814,0
1817,0
1818,0
1819,0
1820,0
1822,0
1824,0
1825,0
1826,0
1827,0
1829,0
1830,0
1831,0
1835,0
1837,0
1838,0
1839,0
1841,0
1842,0
1843,0
1844,0
1847,0
1849,0
1850,0
1851,0
1852,0
1853,0
1855,0
1856,0
1857,0
1858,0
1862,0
1864,0
1865,0
1868,0
1869,0
1870,0
1872,0
1873,0
1874,0
1875,0
1877,0
1879,0
1880,0
1881,0
1882,0
1884,0
1885,0
1886,0
1888,0
1889,0
1890,0
1891,0
1893,0
1894,0
1895,0
1896,0
1897,0
1899,0
1902,0
1904,0
1905,0
1910,0
