,0
0,1
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,1
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,0
36,1
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,0
53,1
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,0
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,1
123,0
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,1
161,0
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,0
174,1
175,0
176,1
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,0
187,1
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,0
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,0
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,1
228,0
229,1
230,0
231,0
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,1
272,0
273,0
274,1
275,0
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,0
295,1
296,0
297,0
298,0
299,1
300,0
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,1
323,1
324,1
325,1
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,0
344,0
345,1
346,1
347,0
348,0
349,1
350,0
351,1
352,1
353,0
354,1
355,1
356,0
357,0
358,0
359,1
360,0
361,0
362,1
363,0
364,0
365,1
366,0
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,0
376,0
377,1
378,1
379,1
380,0
381,0
382,1
383,1
384,1
385,0
386,0
387,0
388,1
389,0
390,0
391,1
392,1
393,0
394,0
395,0
396,0
397,1
398,1
399,0
400,0
401,0
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,0
417,1
418,1
419,0
420,1
421,0
422,1
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,1
433,1
434,1
435,0
436,0
437,1
438,1
439,0
440,1
441,1
442,0
443,1
444,1
445,1
446,0
447,1
448,0
449,0
450,0
451,0
452,1
453,1
454,1
455,1
456,0
457,0
458,0
459,1
460,1
461,0
462,0
463,1
464,1
465,0
466,1
467,0
468,0
469,0
470,0
471,1
472,1
473,1
474,1
475,0
476,1
477,1
478,0
479,1
480,0
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,0
489,1
490,0
491,0
492,0
493,0
494,1
495,0
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,1
519,1
520,0
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,0
530,1
531,1
532,1
533,0
534,1
535,1
536,1
537,0
538,0
539,0
540,1
541,0
542,0
543,1
544,0
545,1
546,0
547,0
548,0
549,1
550,0
551,1
552,1
553,1
554,1
555,1
556,1
557,0
558,1
559,0
560,0
561,1
562,1
563,0
564,0
565,1
566,1
567,0
568,1
569,0
570,0
571,1
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,0
580,0
581,1
582,0
583,0
584,0
585,0
586,0
587,1
588,0
589,1
590,1
591,0
592,0
593,0
594,1
595,1
596,0
597,0
598,0
599,0
600,1
601,1
602,0
603,0
604,1
605,0
606,0
607,1
608,0
609,1
610,0
611,1
612,1
613,0
614,0
615,1
616,1
617,1
618,0
619,0
620,1
621,0
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,1
632,0
633,1
634,1
635,0
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,0
645,0
646,0
647,1
648,1
649,0
650,1
651,0
652,1
653,1
654,0
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,1
663,0
664,0
665,0
666,1
667,0
668,0
669,1
670,0
671,1
672,1
673,1
674,1
675,1
676,0
677,1
678,0
679,1
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,1
689,0
690,1
691,0
692,1
693,0
694,0
695,0
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,0
704,1
705,1
706,1
707,0
708,1
709,1
710,0
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,1
719,1
720,1
721,1
722,0
723,0
724,1
725,0
726,0
727,1
728,0
729,0
730,0
731,1
732,0
733,1
734,0
735,0
736,0
737,0
738,0
739,1
740,1
741,0
742,1
743,1
744,0
745,1
746,0
747,1
748,1
749,1
750,1
751,0
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,0
760,1
761,0
762,0
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,1
774,1
775,1
776,1
777,1
778,0
779,1
780,0
781,1
782,1
783,1
784,1
785,1
786,0
787,0
788,0
789,0
790,1
791,0
792,0
793,0
794,0
795,0
796,1
797,1
798,1
799,1
800,0
801,0
802,1
803,1
804,0
805,1
806,1
807,0
808,1
809,1
810,1
811,1
812,1
